timestamp,lot_num,in_out,parked_counter
2022-12-10 06:00:00,,,0
2022-12-10 10:17:14.915756,101,True,1
2022-12-10 10:18:51.041872,102,True,2
2022-12-10 10:18:51.041872,103,True,3
2022-12-10 10:18:51.041872,104,True,4
2022-12-10 10:18:51.041872,105,True,5
2022-12-10 10:25:58.819662,103,False,4
2022-12-10 10:26:11.292280,104,False,3
2022-12-10 10:28:02.587858,103,True,4
2022-12-10 10:28:08.187166,101,False,3
2022-12-10 10:30:25.796334,105,False,2
2022-12-10 10:31:30.039664,102,False,1
2022-12-10 10:32:31.411505,103,False,0
2022-12-14 14:08:23.488638,101,True,1
2022-12-14 14:08:36.215739,101,False,0
2022-12-15 00:05:42.322918,101,True,1
2022-12-15 00:05:52.715151,101,False,0
2022-12-15 00:06:52.777401,101,True,1
2022-12-15 00:06:57.842479,101,False,0
2022-12-15 01:51:59.317560,202,True,1
2022-12-15 01:52:07.147179,302,True,2
2022-12-15 01:55:08.514962,302,False,1
2022-12-15 01:55:13.783444,202,False,0
2022-12-15 01:55:24.803573,302,True,1
2022-12-15 01:55:33.658984,302,False,0
2022-12-15 01:58:09.579094,302,True,1
2022-12-15 01:58:17.763213,303,True,2
2022-12-15 01:58:53.470173,101,True,3
2022-12-15 01:58:57.530608,301,True,4
2022-12-15 01:59:01.916892,304,True,5
2022-12-15 01:59:08.129125,203,True,6
2022-12-15 01:59:12.552593,204,True,7
2022-12-15 01:59:16.483718,103,True,8
2022-12-15 01:59:20.686676,202,True,9
2022-12-15 01:59:25.305360,305,True,10
2022-12-15 01:59:30.837784,102,True,11
2022-12-15 01:59:36.673201,201,True,12
2022-12-15 01:59:41.037961,205,True,13
2022-12-15 01:59:47.804568,104,True,14
2022-12-15 01:59:52.287609,105,True,15
2022-12-15 02:00:09.242144,101,False,14
2022-12-15 02:00:38.257026,201,False,13
2022-12-15 02:00:41.908156,301,False,12
2022-12-15 02:00:46.710937,302,False,11
2022-12-15 02:00:51.035974,303,False,10
2022-12-15 02:00:58.204250,304,False,9
2022-12-15 02:01:05.626138,305,False,8
2022-12-15 02:01:10.083738,205,False,7
2022-12-15 02:01:15.793238,105,False,6
2022-12-15 02:01:21.017578,104,False,5
2022-12-15 02:01:27.443750,103,False,4
2022-12-15 02:01:33.355608,102,False,3
2022-12-15 02:01:39.270415,202,False,2
2022-12-15 02:01:45.052814,203,False,1
2022-12-15 02:03:03.889838,204,False,0
2022-12-15 15:43:01.511070,101,True,1
2022-12-15 15:43:09.184520,101,False,0
2022-12-15 18:40:42.090587,101,True,1
2022-12-15 18:40:54.955121,101,False,0
